variant,benchmark,input_value,input_metric,phase,time_lo_s,time_mid_s,time_hi_s,units
32-reg,collatz,1,n,decode,0.218000,0.228000,0.245000,s
32-reg,collatz,1,n,trace,0.065000,0.072000,0.074000,s
32-reg,collatz,1,n,preprocess,2.501000,2.599000,2.809000,s
32-reg,collatz,1,n,prove,0.613000,0.617000,0.622000,s
32-reg,collatz,1,n,verify,0.052000,0.054000,0.055000,s
32-reg,collatz,2,n,decode,0.222000,0.226000,0.239000,s
32-reg,collatz,2,n,trace,0.071000,0.072000,0.073000,s
32-reg,collatz,2,n,preprocess,2.536000,2.583000,2.674000,s
32-reg,collatz,2,n,prove,0.626000,0.635000,0.640000,s
32-reg,collatz,2,n,verify,0.053000,0.054000,0.057000,s
32-reg,collatz,3,n,decode,0.217000,0.223000,0.228000,s
32-reg,collatz,3,n,trace,0.072000,0.072000,0.073000,s
32-reg,collatz,3,n,preprocess,2.527000,2.574000,2.633000,s
32-reg,collatz,3,n,prove,0.634000,0.637000,0.649000,s
32-reg,collatz,3,n,verify,0.052000,0.054000,0.056000,s
32-reg,collatz,4,n,decode,0.222000,0.225000,0.242000,s
32-reg,collatz,4,n,trace,0.072000,0.073000,0.074000,s
32-reg,collatz,4,n,preprocess,2.578000,2.632000,2.705000,s
32-reg,collatz,4,n,prove,0.630000,0.638000,0.645000,s
32-reg,collatz,4,n,verify,0.052000,0.054000,0.056000,s
32-reg,collatz,5,n,decode,0.220000,0.227000,0.230000,s
32-reg,collatz,5,n,trace,0.072000,0.074000,0.074000,s
32-reg,collatz,5,n,preprocess,2.562000,2.624000,2.791000,s
32-reg,collatz,5,n,prove,0.636000,0.642000,0.648000,s
32-reg,collatz,5,n,verify,0.053000,0.054000,0.056000,s
32-reg,collatz,6,n,decode,0.220000,0.226000,0.229000,s
32-reg,collatz,6,n,trace,0.072000,0.073000,0.074000,s
32-reg,collatz,6,n,preprocess,2.545000,2.597000,2.706000,s
32-reg,collatz,6,n,prove,0.659000,0.667000,0.678000,s
32-reg,collatz,6,n,verify,0.052000,0.054000,0.056000,s
32-reg,collatz,7,n,decode,0.218000,0.221000,0.236000,s
32-reg,collatz,7,n,trace,0.073000,0.073000,0.075000,s
32-reg,collatz,7,n,preprocess,2.518000,2.548000,2.722000,s
32-reg,collatz,7,n,prove,0.664000,0.669000,0.678000,s
32-reg,collatz,7,n,verify,0.052000,0.054000,0.056000,s
32-reg,collatz,8,n,decode,0.213000,0.221000,0.226000,s
32-reg,collatz,8,n,trace,0.072000,0.073000,0.074000,s
32-reg,collatz,8,n,preprocess,2.487000,2.575000,2.668000,s
32-reg,collatz,8,n,prove,0.630000,0.636000,0.644000,s
32-reg,collatz,8,n,verify,0.052000,0.053000,0.055000,s
