variant,benchmark,input_value,input_metric,component,size_lo_mb,size_mid_mb,size_hi_mb,units
32-reg,collatz,1,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,1,n,proof,0.108000,0.108000,0.108000,MB
32-reg,collatz,1,n,total,0.123000,0.123000,0.123000,MB
32-reg,collatz,2,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,2,n,proof,0.113000,0.113000,0.113000,MB
32-reg,collatz,2,n,total,0.128000,0.128000,0.128000,MB
32-reg,collatz,3,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,3,n,proof,0.113000,0.113000,0.113000,MB
32-reg,collatz,3,n,total,0.128000,0.128000,0.128000,MB
32-reg,collatz,4,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,4,n,proof,0.113000,0.113000,0.113000,MB
32-reg,collatz,4,n,total,0.128000,0.128000,0.128000,MB
32-reg,collatz,5,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,5,n,proof,0.113000,0.113000,0.113000,MB
32-reg,collatz,5,n,total,0.128000,0.128000,0.128000,MB
32-reg,collatz,6,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,6,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,6,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,7,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,7,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,7,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,8,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,8,n,proof,0.113000,0.113000,0.113000,MB
32-reg,collatz,8,n,total,0.128000,0.128000,0.128000,MB
32-reg,collatz,9,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,9,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,9,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,10,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,10,n,proof,0.113000,0.113000,0.113000,MB
32-reg,collatz,10,n,total,0.128000,0.128000,0.128000,MB
32-reg,collatz,11,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,11,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,11,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,12,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,12,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,12,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,13,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,13,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,13,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,14,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,14,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,14,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,15,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,15,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,15,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,16,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,16,n,proof,0.113000,0.113000,0.113000,MB
32-reg,collatz,16,n,total,0.128000,0.128000,0.128000,MB
32-reg,collatz,17,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,17,n,proof,0.119000,0.119000,0.119000,MB
